Ligand	Receptor	Source
ADAM15	ITGAV	Ramilowski et al. 2015
ADAM2	ITGA9	Ramilowski et al. 2015
ADAM2	ITGB7	Ramilowski et al. 2015
AGRN	ATP1A3	Ramilowski et al. 2015
AGRN	LRP4	Ramilowski et al. 2015
AGRP	SDC3	Ramilowski et al. 2015
AMELX	LAMP1	Ramilowski et al. 2015
AMELY	LAMP1	Ramilowski et al. 2015
AMH	ACVR1	Ramilowski et al. 2015
APOB	LSR	Ramilowski et al. 2015
APOB	OLR1	Ramilowski et al. 2015
APP	CD74	Ramilowski et al. 2015
APP	TNFRSF21	Ramilowski et al. 2015
AREG	ERBB3	Ramilowski et al. 2015
ARTN	GFRA1	Ramilowski et al. 2015
BGN	TLR2	Ramilowski et al. 2015
BGN	TLR4	Ramilowski et al. 2015
BMP10	ENG	Ramilowski et al. 2015
BMP2	HFE2	Ramilowski et al. 2015
BTLA	CD79A	Ramilowski et al. 2015
C1QB	LRP1	Ramilowski et al. 2015
C3	CD19	Ramilowski et al. 2015
C4BPA	CD40	Ramilowski et al. 2015
CD14	ITGA4	Ramilowski et al. 2015
CD14	ITGB1	Ramilowski et al. 2015
CD5L	CD5	Ramilowski et al. 2015
CDH1	IGF1R	Ramilowski et al. 2015
CEL	CXCR4	Ramilowski et al. 2015
CNTN4	PTPRG	Ramilowski et al. 2015
COL4A1	ITGAV	Ramilowski et al. 2015
COL4A3	CD47	Ramilowski et al. 2015
COL4A3	ITGAV	Ramilowski et al. 2015
CP	SLC40A1	Ramilowski et al. 2015
CRP	OLR1	Ramilowski et al. 2015
CTGF	ITGA5	Ramilowski et al. 2015
CTGF	NTRK1	Ramilowski et al. 2015
CTHRC1	FZD3	Ramilowski et al. 2015
CTHRC1	FZD5	Ramilowski et al. 2015
CTHRC1	FZD6	Ramilowski et al. 2015
CXCL10	SDC4	Ramilowski et al. 2015
CXCL12	ITGB1	Ramilowski et al. 2015
DCN	ERBB4	Ramilowski et al. 2015
DCN	MET	Ramilowski et al. 2015
DEFB103B	CCR2	Ramilowski et al. 2015
DEFB103B	CCR6	Ramilowski et al. 2015
DHH	BOC	Ramilowski et al. 2015
DHH	CDON	Ramilowski et al. 2015
DKK2	KREMEN2	Ramilowski et al. 2015
DLK2	NOTCH1	Ramilowski et al. 2015
EDN2	EDNRB	Ramilowski et al. 2015
EFEMP1	EGFR	Ramilowski et al. 2015
EFNA5	EPHB6	Ramilowski et al. 2015
EFNB1	ERBB2	Ramilowski et al. 2015
EFNB2	EPHA6	Ramilowski et al. 2015
EGF	ERBB4	Ramilowski et al. 2015
F13A1	ITGA4	Ramilowski et al. 2015
F13A1	ITGA9	Ramilowski et al. 2015
F13A1	ITGB1	Ramilowski et al. 2015
F2	GP9	Ramilowski et al. 2015
F8	LDLR	Ramilowski et al. 2015
FAT4	DCHS1	Ramilowski et al. 2015
FBN1	ITGA5	Ramilowski et al. 2015
FBN1	ITGAV	Ramilowski et al. 2015
FBN1	ITGB1	Ramilowski et al. 2015
FBN1	ITGB3	Ramilowski et al. 2015
FCN2	LRP1	Ramilowski et al. 2015
FGA	ITGA5	Ramilowski et al. 2015
FGA	ITGAM	Ramilowski et al. 2015
FGA	ITGAV	Ramilowski et al. 2015
FGA	ITGB1	Ramilowski et al. 2015
FGB	ITGA2B	Ramilowski et al. 2015
FGB	ITGA5	Ramilowski et al. 2015
FGB	ITGAM	Ramilowski et al. 2015
FGB	ITGAV	Ramilowski et al. 2015
FGB	ITGB1	Ramilowski et al. 2015
FGB	ITGB2	Ramilowski et al. 2015
FGF13	SCN5A	Ramilowski et al. 2015
FGF19	KLB	Ramilowski et al. 2015
FGF20	FGFR4	Ramilowski et al. 2015
FGF21	FGFR4	Ramilowski et al. 2015
FGG	ITGA2B	Ramilowski et al. 2015
FGG	ITGA5	Ramilowski et al. 2015
FGG	ITGAV	Ramilowski et al. 2015
FGG	ITGB1	Ramilowski et al. 2015
FGG	ITGB2	Ramilowski et al. 2015
FGL1	EGFR	Ramilowski et al. 2015
FN1	CD44	Ramilowski et al. 2015
FN1	ITGA9	Ramilowski et al. 2015
FN1	ITGAV	Ramilowski et al. 2015
FN1	PLAUR	Ramilowski et al. 2015
GDF2	ACVR1	Ramilowski et al. 2015
GDF2	ACVR2A	Ramilowski et al. 2015
GDF2	ACVR2B	Ramilowski et al. 2015
GDF2	BMPR2	Ramilowski et al. 2015
GDF2	ENG	Ramilowski et al. 2015
GIP	DPP4	Ramilowski et al. 2015
GNAI2	TBXA2R	Ramilowski et al. 2015
GPC3	CD81	Ramilowski et al. 2015
GPC3	IGF1R	Ramilowski et al. 2015
GRP	BRS3	Ramilowski et al. 2015
GRP	NMBR	Ramilowski et al. 2015
HBEGF	ERBB2	Ramilowski et al. 2015
HGF	CD44	Ramilowski et al. 2015
HLA-A	KIR3DL1	Ramilowski et al. 2015
HLA-B	CANX	Ramilowski et al. 2015
HMGB1	SDC1	Ramilowski et al. 2015
HMGB1	THBD	Ramilowski et al. 2015
HSP90AA1	CFTR	Ramilowski et al. 2015
HSP90AA1	EGFR	Ramilowski et al. 2015
HSP90AA1	FGFR3	Ramilowski et al. 2015
IGFBP4	FZD8	Ramilowski et al. 2015
IGFBP4	LRP6	Ramilowski et al. 2015
IGFL1	IGFLR1	Ramilowski et al. 2015
IGFL2	IGFLR1	Ramilowski et al. 2015
IGFL3	IGFLR1	Ramilowski et al. 2015
IHH	BOC	Ramilowski et al. 2015
IHH	CDON	Ramilowski et al. 2015
IL12B	IL23R	Ramilowski et al. 2015
IL15	IL2RA	Ramilowski et al. 2015
IL17A	IL17RC	Ramilowski et al. 2015
IL17F	IL17RA	Ramilowski et al. 2015
IL34	CSF1R	Ramilowski et al. 2015
L1CAM	EGFR	Ramilowski et al. 2015
L1CAM	ERBB2	Ramilowski et al. 2015
L1CAM	ERBB3	Ramilowski et al. 2015
LPL	GPIHBP1	Ramilowski et al. 2015
LPL	SDC1	Ramilowski et al. 2015
MATN1	ITGB1	Ramilowski et al. 2015
MEPE	PHEX	Ramilowski et al. 2015
MFAP2	NOTCH1	Ramilowski et al. 2015
MFAP5	NOTCH1	Ramilowski et al. 2015
MFGE8	ITGAV	Ramilowski et al. 2015
MFGE8	ITGB3	Ramilowski et al. 2015
MFGE8	PDGFRB	Ramilowski et al. 2015
MIA	CDH7	Ramilowski et al. 2015
MMP2	SDC2	Ramilowski et al. 2015
MMP7	ERBB4	Ramilowski et al. 2015
MUC2	AGR2	Ramilowski et al. 2015
MYOC	FZD1	Ramilowski et al. 2015
MYOC	FZD10	Ramilowski et al. 2015
MYOC	FZD3	Ramilowski et al. 2015
MYOC	FZD4	Ramilowski et al. 2015
MYOC	FZD7	Ramilowski et al. 2015
NLGN1	NRXN2	Ramilowski et al. 2015
NMB	BRS3	Ramilowski et al. 2015
NPY	FAP	Ramilowski et al. 2015
NTN1	UNC5A	Ramilowski et al. 2015
NTN1	UNC5B	Ramilowski et al. 2015
NTN1	UNC5D	Ramilowski et al. 2015
NTNG2	LRRC4	Ramilowski et al. 2015
OMG	RTN4R	Ramilowski et al. 2015
PCSK9	VLDLR	Ramilowski et al. 2015
PIGF	FLT1	Ramilowski et al. 2015
PLG	PLGRKT	Ramilowski et al. 2015
PSPN	GFRA1	Ramilowski et al. 2015
PYY	FAP	Ramilowski et al. 2015
RARRES2	CCRL2	Ramilowski et al. 2015
RBP4	STRA6	Ramilowski et al. 2015
RGMB	NEO1	Ramilowski et al. 2015
RNASE2	TLR2	Ramilowski et al. 2015
RSPO1	ZNRF3	Ramilowski et al. 2015
RSPO3	FZD8	Ramilowski et al. 2015
RSPO3	LRP6	Ramilowski et al. 2015
RSPO3	SDC4	Ramilowski et al. 2015
S100A8	TLR4	Ramilowski et al. 2015
S100A9	TLR4	Ramilowski et al. 2015
SCT	VIPR2	Ramilowski et al. 2015
SEMA3A	NRP2	Ramilowski et al. 2015
SEMA3C	PLXND1	Ramilowski et al. 2015
SEMA3D	NRP1	Ramilowski et al. 2015
SEMA3G	NRP2	Ramilowski et al. 2015
SEMA4B	DCBLD2	Ramilowski et al. 2015
SEMA4C	PLXNB2	Ramilowski et al. 2015
SEMA4D	ERBB2	Ramilowski et al. 2015
SEMA4G	PLXNB2	Ramilowski et al. 2015
SEMA6A	PLXNA2	Ramilowski et al. 2015
SEMA6A	PLXNA4	Ramilowski et al. 2015
SEMA6D	TREM2	Ramilowski et al. 2015
SEMA6D	TYROBP	Ramilowski et al. 2015
SEMA7A	ITGA1	Ramilowski et al. 2015
SEMA7A	ITGB1	Ramilowski et al. 2015
SFRP1	FZD2	Ramilowski et al. 2015
SHH	GPC5	Ramilowski et al. 2015
SHH	LRP2	Ramilowski et al. 2015
SPINK1	EGFR	Ramilowski et al. 2015
SPP1	ITGA4	Ramilowski et al. 2015
SPP1	S1PR1	Ramilowski et al. 2015
TCTN1	TMEM67	Ramilowski et al. 2015
TGM2	SDC4	Ramilowski et al. 2015
THBS1	ITGA2B	Ramilowski et al. 2015
THBS1	ITGA3	Ramilowski et al. 2015
THBS1	ITGA4	Ramilowski et al. 2015
THBS1	ITGA6	Ramilowski et al. 2015
THBS1	ITGB1	Ramilowski et al. 2015
THBS2	ITGA4	Ramilowski et al. 2015
THBS2	ITGA6	Ramilowski et al. 2015
THBS2	ITGB1	Ramilowski et al. 2015
THBS2	NOTCH3	Ramilowski et al. 2015
